data,open,high,low,close,volume,close_adjust
2017/1/4,214,216.6,213.4,215.7,182740100,215.7
2017/1/5,217,217.2,215,216.5,135447400,216.5
2017/1/6,213.9,215.1,212.9,214.4,127594300,214.4
2017/1/10,213.6,214.3,212.1,212.1,121214700,212.1
2017/1/11,213.3,215.9,213.1,215.6,121067600,215.6
2017/1/12,214,214.3,211.6,212.8,136269800,212.8
2017/1/13,212.7,213.9,212.1,213.9,102230200,213.9
2017/1/16,214.4,214.7,211.4,211.7,107602400,211.7
2017/1/17,210,210.1,207.1,208.3,147754800,208.3
2017/1/18,207.2,208,204.4,207.3,161151800,207.3
2017/1/19,210.1,214.3,210,211.6,141546900,211.6
2017/1/20,212.6,213.6,210.9,212.8,110913200,212.8
2017/1/23,211,212.1,209.7,211.2,104602400,211.2
2017/1/24,209.2,209.5,205.5,205.9,174651600,205.9
2017/1/25,209,209,206,206.7,137878900,206.7
2017/1/26,210,213,209.6,212.9,214794100,212.9
2017/1/27,214.8,217.3,214.5,216.6,208873700,216.6
2017/1/30,215,215.4,213.2,214.5,96499000,214.5
2017/1/31,210.2,212.4,210.1,210.3,121416200,210.3
2017/2/1,206,209,205.7,208.7,142998300,208.7
2017/2/2,209.1,209.2,205.4,206,130275100,206
2017/2/3,206.7,210.8,206.1,207.9,199300400,207.9
2017/2/6,212.2,213.6,208.8,209.5,163354800,209.5
2017/2/7,208.6,209.9,207.4,208.5,100933100,208.5
2017/2/8,208.8,209.5,207.6,209.2,87809200,209.2
2017/2/9,208,208.2,206.7,207.1,109175300,207.1
2017/2/10,210,211.5,209.2,210.8,172060000,210.8
2017/2/13,213.4,213.9,211,211.2,112489800,211.2
2017/2/14,212.1,212.1,208.5,208.5,118899000,208.5
2017/2/15,211.1,213,210.8,210.9,129859300,210.9
2017/2/16,211.5,212.5,209.4,210.7,128797700,210.7
2017/2/17,209.9,211,208.5,209.7,103500800,209.7
2017/2/20,208.5,210.5,207.9,210.4,84312100,210.4
2017/2/21,210.9,212.3,210.3,211.7,82614200,211.7
2017/2/22,212.4,212.5,211.1,212,90603700,212
2017/2/23,211.8,211.9,209.7,211.4,105069800,211.4
2017/2/24,210.7,211.8,210,211.1,85223400,211.1
2017/2/27,209.8,210,208,208.4,149571400,208.4
2017/2/28,209.1,210.6,208.9,209.7,116024300,209.7
2017/3/1,210.3,211.2,208.5,210.5,161923800,210.5
2017/3/2,213.7,215,213.1,213.3,203061600,213.3
2017/3/3,213.8,214,211.5,212.6,126042900,212.6
2017/3/6,211.7,213.2,210.7,212.4,102480600,212.4
2017/3/7,211.6,212.5,210.7,211.4,96547200,211.4
2017/3/8,211.2,211.4,210.5,211.3,74373700,211.3
2017/3/9,211.9,212.2,211,211.3,83434600,211.3
2017/3/10,212.5,214.1,211.9,214.1,174682500,214.1
2017/3/13,213.7,214.4,213.2,213.9,80663400,213.9
2017/3/14,214.2,214.2,212.8,213,95454900,213
2017/3/15,212.6,213.7,211.9,213.2,84600800,213.2
2017/3/16,212.2,213.3,211.9,212.2,104789300,212.2
2017/3/17,212.1,213,211.9,212.7,114780100,212.7
2017/3/21,212,212.2,211,211,133476700,211
2017/3/22,207.8,207.9,206,206.5,214578600,206.5
2017/3/23,207.2,208,206.1,206.8,151665400,206.8
2017/3/24,207.4,211.1,207.2,209.7,135968300,209.7
2017/3/27,208.3,208.4,207.1,208.1,131820400,208.1
2017/3/28,210.1,211.5,209.5,210.9,154953300,210.9
2017/3/29,209.3,210.1,208.1,208.9,109012000,208.9
2017/3/30,207.5,208.2,206.7,207.3,97797400,207.3
2017/3/31,208.3,209.3,204,204,143615600,204
2017/4/3,204.4,204.6,200.3,201.1,150971800,201.1
2017/4/4,200,200.4,198,199.1,154854700,199.1
2017/4/5,200,200.1,196.4,197.2,154547800,197.2
2017/4/6,194.9,194.9,192.3,193.1,180328900,193.1
2017/4/7,194.3,196.2,192.8,193.9,160580300,193.9
2017/4/10,194.9,196.6,194.8,196.3,101717500,196.3
2017/4/11,195,195,193.1,194.7,99773400,194.7
2017/4/12,192.1,193.2,191.5,192.8,110437100,192.8
2017/4/13,191,191,189.1,190,138704900,190
2017/4/14,188,189.9,187.5,189.1,109734500,189.1
2017/4/17,188.1,189.2,186.7,189,102022600,189
2017/4/18,191.7,193.2,190.7,191.1,124448200,191.1
2017/4/19,190.4,192.9,189.3,191.3,137832300,191.3
2017/4/20,192,195.7,191.4,194,125721800,194
2017/4/21,196.8,197.3,195.1,196,119210700,196
2017/4/24,198,199.5,197.6,198.1,107517300,198.1
2017/4/25,198.6,202.5,198.4,202.1,120606600,202.1
2017/4/26,204.6,206.4,203.7,206.2,123291800,206.2
2017/4/27,204.9,207.3,204.5,206.8,98207800,206.8
2017/4/28,205.9,206.3,203.1,203.6,95200900,203.6
2017/5/1,203,205.4,202.4,205.2,79524300,205.2
2017/5/2,205.9,207.5,205.6,206.7,90707600,206.7
2017/5/8,209.3,210.2,209.1,209.9,146444300,209.9
2017/5/9,210,210.2,208.8,209.4,80558700,209.4
2017/5/10,210,210.4,208.8,208.9,88274400,208.9
2017/5/11,209.4,210.7,208.2,210.2,103385900,210.2
2017/5/12,209,209.8,207.9,209,77230400,209
2017/5/15,207.3,207.4,205.1,207.1,81776900,207.1
2017/5/16,207.6,207.7,202.5,203.1,126897600,203.1
2017/5/17,200.1,200.4,197.9,198,176633300,198
2017/5/18,194,194,192.2,193.4,168193000,193.4
2017/5/19,194.4,197,194.2,196.1,114085400,196.1
2017/5/22,197.2,197.7,196.7,197,60491800,197
2017/5/23,196.3,197.5,195.2,197.1,75769500,197.1
2017/5/24,199,199.6,197.4,198.5,90305300,198.5
2017/5/25,198,198.2,196.5,196.8,94085000,196.8
2017/5/26,196.4,197.4,195.2,195.2,74781400,195.2
2017/5/29,195.4,196.1,194.7,195,59287400,195
2017/5/30,194.6,195.4,194.2,195.2,60936300,195.2
2017/5/31,193.6,193.8,192.4,192.8,99950100,192.8
2017/6/1,192.3,195.8,192.2,194.1,107452000,194.1
2017/6/2,195.1,200.9,195,200.1,175604300,200.1
2017/6/5,197.6,197.9,196.4,197,106257500,197
2017/6/6,197,198.6,196.3,196.7,99978900,196.7
2017/6/7,196,197.7,195.2,197,105695500,197
2017/6/8,198.3,200.5,197.2,197.4,173075000,197.4
2017/6/9,198.9,200.4,198.1,199.7,156941400,199.7
2017/6/12,201,203.4,200.6,200.7,122316100,200.7
2017/6/13,200.7,202.1,200.3,201,84001200,201
2017/6/14,202.4,202.8,199.8,200.3,95982800,200.3
2017/6/15,199,199.8,196.7,196.9,140976400,196.9
2017/6/16,198,199.8,197.5,198.2,123611800,198.2
2017/6/19,197.7,198.5,197.1,197.7,78819600,197.7
2017/6/20,200.4,200.7,198.3,198.3,107086700,198.3
2017/6/21,198.2,198.4,197.1,198,96553500,198
2017/6/22,198,199,197.1,198.1,87881800,198.1
2017/6/23,198.9,199.4,197.7,199.3,69105200,199.3
2017/6/26,198.7,198.8,197.4,197.4,91332500,197.4
2017/6/27,198.3,199.1,197.9,198,85719600,198
2017/6/28,200.5,204.5,200.4,204,221422300,204
2017/6/29,208,209.4,205.5,205.7,205614500,205.7
2017/6/30,205.1,207,203.9,205.4,155641800,205.4
2017/7/3,204.5,205.4,203.5,205.3,81699300,205.3
2017/7/4,207,208,205.5,205.9,95452300,205.9
2017/7/5,206,208.5,205.9,208.5,123605200,208.5
2017/7/6,208.9,208.9,207.1,207.6,92104400,207.6
2017/7/7,205.4,207.4,205.3,205.9,92695000,205.9
2017/7/10,206.7,206.7,204,204.6,99857400,204.6
2017/7/11,204.9,205.4,204.4,205,66906900,205
2017/7/12,204.3,204.4,202.6,202.6,84792600,202.6
2017/7/13,202.2,202.6,199.7,199.9,127636300,199.9
2017/7/14,201,201.6,200.2,201,83331600,201
2017/7/18,199.6,199.7,198.3,199.3,97725200,199.3
2017/7/19,198.2,199.2,197.6,198.6,75330300,198.6
2017/7/20,198.7,199.5,198.1,199.3,70121800,199.3
2017/7/21,198.6,198.8,198,198.4,80061900,198.4
2017/7/24,197,197,195.3,196.2,138100600,196.2
2017/7/25,196.5,198,196.2,196.7,76231800,196.7
2017/7/26,199.2,199.6,198.3,198.7,83229100,198.7
